ope8_id,city,state,name,degrees_awarded_predominant,size,online_only,avg_net_price_pub,pell_grant_rate,retention_four_year_full_time,part_time_share,act_25th_pctl_cumulative,act_75th_pctl_cumulative,sat_average_all,sat_25th_pctl_math,sat_75th_pctl_math,sat_25th_pctl_reading,sat_75th_pctl_reading,sat_25th_pctl_writing,sat_75th_pctl_writing,race_ethn_white,race_ethn_black,race_ethn_hispanic,race_ethn_asian,race_ethn_two_or_more
356400,Marshall,TX,East Texas Baptist University,Predominantly bachelor's-degree granting,1132,0,NaN,0.4601,0.5714,0.0601,18,22,957,450,530,430,520,NaN,NaN,0.6422,0.1926,0.1016,0.0035,0.0327
3170300,Texarkana,TX,Texas A & M University-Texarkana,Predominantly bachelor's-degree granting,1391,0,8258,0.4616,0.403,0.3364,19,23,993,460,560,430,540,410,530,0.6664,0.156,0.1121,0.0151,0.0259
356500,Commerce,TX,Texas A & M University-Commerce,Predominantly bachelor's-degree granting,6951,0,10459,0.4948,0.6687,0.2558,18,24,987,450,550,430,540,NaN,NaN,0.5464,0.2014,0.1427,0.0168,0.0306
851e3,Mesquite,TX,Eastfield College,Predominantly associate's-degree granting,12113,0,7054,0.3699,NaN,0.7548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.264,0.2685,0.3906,0.0383,0.0082
445300,Dallas,TX,El Centro College,Predominantly associate's-degree granting,8854,0,6033,0.3924,NaN,0.7981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2161,0.32,0.3753,0.0482,0.0073
1038700,El Paso,TX,El Paso Community College,Predominantly associate's-degree granting,29390,0,3697,0.4653,NaN,0.6699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0791,0.0234,0.8554,0.0072,2e-4
2098301,El Paso,TX,Western Technical College,Predominantly certificate-degree granting,651,0,NaN,0.702,NaN,0.232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1674,0.0522,0.702,0.0061,0.0015
2098300,El Paso,TX,Western Technical College,Predominantly certificate-degree granting,815,0,NaN,0.7904,NaN,0.2037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1571,0.038,0.789,0.0049,0.0012
2267100,Amarillo,TX,Exposito School of Hair Design,Predominantly certificate-degree granting,58,0,NaN,0.581,NaN,0.2759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7586,0.0172,0.2069,0.0172,0
1303912,Dallas,TX,South University-The Art Institute of Dallas,Predominantly bachelor's-degree granting,1408,0,NaN,0.5889,0.4615,0.2266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1662,0.0774,0.2607,0.0156,0.0099
2306700,Fort Worth,TX,Fort Worth Beauty School,Predominantly certificate-degree granting,60,0,NaN,0.8167,NaN,0.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7,0.1333,0.15,0,0
356800,Borger,TX,Frank Phillips College,Predominantly certificate-degree granting,567,0,6172,0.3333,NaN,0.3651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6966,0.0705,0.1764,0.0088,0
497200,Galveston,TX,Galveston College,Predominantly associate's-degree granting,1858,0,3268,0.3883,NaN,0.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4483,0.1798,0.2982,0.0258,0.0038
357e3,Denison,TX,Grayson College,Predominantly associate's-degree granting,3967,0,8851,0.4399,NaN,0.4928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6957,0.0786,0.126,0.0126,0.0383
1050900,San Antonio,TX,Hallmark College,Predominantly associate's-degree granting,713,0,NaN,0.5625,0.3509,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2917,0.0968,0.5147,0.0238,0.0561
357100,Abilene,TX,Hardin-Simmons University,Predominantly bachelor's-degree granting,1690,0,NaN,0.3379,0.6285,0.0793,20,25,1035,480,560,450,550,430,530,0.7243,0.0669,0.1485,0.0083,0.0249
357200,Athens,TX,Trinity Valley Community College,Predominantly associate's-degree granting,4958,0,6995,0.5091,NaN,0.4671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6196,0.167,0.0734,0.004,0.1132
357300,Hillsboro,TX,Hill College,Predominantly certificate-degree granting,3580,0,8504,0.3994,NaN,0.4732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6511,0.0902,0.1944,0.0039,0.0277
357600,Houston,TX,Houston Baptist University,Predominantly bachelor's-degree granting,2165,0,NaN,0.4868,0.6284,0.0744,21,27,1075,490,590,470,580,450,560,0.2776,0.1921,0.2605,0.1275,0.0739
1171100,Houston,TX,University of Houston-Clear Lake,Predominantly bachelor's-degree granting,4691,0,NaN,0.418,NaN,0.5521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4602,0.0842,0.3326,0.0601,0.0247
